algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,1620700,1.6207,Python,secuencial
NaivLoopUnrollingTwo,16,1,1316300,1.3163,Python,secuencial
NaivLoopUnrollingFour,16,1,1126400,1.1264,Python,secuencial
WinogradOriginal,16,1,2002400,2.0024,Python,secuencial
WinogradScaled,16,1,1605700,1.6057,Python,secuencial
StrassenNaiv,16,1,6993100,6.9931,Python,secuencial
StrassenWinograd,16,1,9839100,9.8391,Python,secuencial
CC_SequentialBlock,16,1,1401900,1.4019,Python,secuencial
CC_ParallelBlock,16,1,6067600,6.0676,Python,secuencial
RC_SequentialBlock,16,1,1204600,1.2046,Python,secuencial
RC_ParallelBlock,16,1,3762600,3.7626,Python,secuencial
RC_EnhancedParallelBlock,16,1,7912200,7.9122,Python,secuencial
RR_SequentialBlock,16,1,865500,0.8655,Python,secuencial
RR_ParallelBlock,16,1,13537100,13.5371,Python,secuencial
RR_EnhancedParallelBlock,16,1,4372700,4.3727,Python,secuencial
NaivOnArray,16,2,1106000,1.1060,Python,secuencial
NaivLoopUnrollingTwo,16,2,1267600,1.2676,Python,secuencial
NaivLoopUnrollingFour,16,2,830900,0.8309,Python,secuencial
WinogradOriginal,16,2,1110100,1.1101,Python,secuencial
WinogradScaled,16,2,1758600,1.7586,Python,secuencial
StrassenNaiv,16,2,8556400,8.5564,Python,secuencial
StrassenWinograd,16,2,9354500,9.3545,Python,secuencial
CC_SequentialBlock,16,2,921200,0.9212,Python,secuencial
CC_ParallelBlock,16,2,2015100,2.0151,Python,secuencial
RC_SequentialBlock,16,2,1025700,1.0257,Python,secuencial
RC_ParallelBlock,16,2,1935200,1.9352,Python,secuencial
RC_EnhancedParallelBlock,16,2,5734300,5.7343,Python,secuencial
RR_SequentialBlock,16,2,983800,0.9838,Python,secuencial
RR_ParallelBlock,16,2,2137200,2.1372,Python,secuencial
RR_EnhancedParallelBlock,16,2,3509100,3.5091,Python,secuencial
NaivOnArray,32,1,7663900,7.6639,Python,secuencial
NaivLoopUnrollingTwo,32,1,9944700,9.9447,Python,secuencial
NaivLoopUnrollingFour,32,1,9059300,9.0593,Python,secuencial
WinogradOriginal,32,1,17021700,17.0217,Python,secuencial
WinogradScaled,32,1,19857600,19.8576,Python,secuencial
StrassenNaiv,32,1,84239000,84.2390,Python,secuencial
StrassenWinograd,32,1,84301700,84.3017,Python,secuencial
CC_SequentialBlock,32,1,16481200,16.4812,Python,secuencial
CC_ParallelBlock,32,1,35091100,35.0911,Python,secuencial
RC_SequentialBlock,32,1,10909100,10.9091,Python,secuencial
RC_ParallelBlock,32,1,49381600,49.3816,Python,secuencial
RC_EnhancedParallelBlock,32,1,33824500,33.8245,Python,secuencial
RR_SequentialBlock,32,1,11478000,11.4780,Python,secuencial
RR_ParallelBlock,32,1,27550700,27.5507,Python,secuencial
RR_EnhancedParallelBlock,32,1,18994400,18.9944,Python,secuencial
NaivOnArray,32,2,7545400,7.5454,Python,secuencial
NaivLoopUnrollingTwo,32,2,13157000,13.1570,Python,secuencial
NaivLoopUnrollingFour,32,2,14934200,14.9342,Python,secuencial
WinogradOriginal,32,2,20583000,20.5830,Python,secuencial
WinogradScaled,32,2,18816200,18.8162,Python,secuencial
StrassenNaiv,32,2,76594000,76.5940,Python,secuencial
StrassenWinograd,32,2,72438400,72.4384,Python,secuencial
CC_SequentialBlock,32,2,14628200,14.6282,Python,secuencial
CC_ParallelBlock,32,2,20946400,20.9464,Python,secuencial
RC_SequentialBlock,32,2,12071800,12.0718,Python,secuencial
RC_ParallelBlock,32,2,20462300,20.4623,Python,secuencial
RC_EnhancedParallelBlock,32,2,16193500,16.1935,Python,secuencial
RR_SequentialBlock,32,2,9338500,9.3385,Python,secuencial
RR_ParallelBlock,32,2,37923200,37.9232,Python,secuencial
RR_EnhancedParallelBlock,32,2,82677700,82.6777,Python,secuencial
NaivOnArray,64,1,239394400,239.3944,Python,secuencial
NaivLoopUnrollingTwo,64,1,222415000,222.4150,Python,secuencial
NaivLoopUnrollingFour,64,1,181046800,181.0468,Python,secuencial
