algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,1952400,1.9524,Java,secuencial
NaivLoopUnrollingTwo,16,1,1800800,1.8008,Java,secuencial
NaivLoopUnrollingFour,16,1,1800800,1.8008,Java,secuencial
WinogradOriginal,16,1,7363500,7.3635,Java,secuencial
WinogradScaled,16,1,2025300,2.0253,Java,secuencial
StrassenNaiv,16,1,7762000,7.7620,Java,secuencial
StrassenWinograd,16,1,2650900,2.6509,Java,secuencial
CC_SequentialBlock,16,1,2083900,2.0839,Java,secuencial
CC_ParallelBlock,16,1,22365100,22.3651,Java,secuencial
RC_SequentialBlock,16,1,2096500,2.0965,Java,secuencial
RC_ParallelBlock,16,1,7164000,7.1640,Java,secuencial
RC_EnhancedParallelBlock,16,1,25353700,25.3537,Java,secuencial
RR_SequentialBlock,16,1,1962200,1.9622,Java,secuencial
RR_ParallelBlock,16,1,6609200,6.6092,Java,secuencial
RR_EnhancedParallelBlock,16,1,20970000,20.9700,Java,secuencial
NaivOnArray,16,2,38300,0.0383,Java,secuencial
NaivLoopUnrollingTwo,16,2,517400,0.5174,Java,secuencial
NaivLoopUnrollingFour,16,2,233400,0.2334,Java,secuencial
WinogradOriginal,16,2,280800,0.2808,Java,secuencial
WinogradScaled,16,2,415200,0.4152,Java,secuencial
StrassenNaiv,16,2,966200,0.9662,Java,secuencial
StrassenWinograd,16,2,1185400,1.1854,Java,secuencial
CC_SequentialBlock,16,2,533700,0.5337,Java,secuencial
CC_ParallelBlock,16,2,446800,0.4468,Java,secuencial
RC_SequentialBlock,16,2,405500,0.4055,Java,secuencial
RC_ParallelBlock,16,2,551700,0.5517,Java,secuencial
RC_EnhancedParallelBlock,16,2,16035500,16.0355,Java,secuencial
RR_SequentialBlock,16,2,277500,0.2775,Java,secuencial
RR_ParallelBlock,16,2,328300,0.3283,Java,secuencial
RR_EnhancedParallelBlock,16,2,12283300,12.2833,Java,secuencial
NaivOnArray,32,1,88800,0.0888,Java,secuencial
NaivLoopUnrollingTwo,32,1,1514100,1.5141,Java,secuencial
NaivLoopUnrollingFour,32,1,1547800,1.5478,Java,secuencial
WinogradOriginal,32,1,1995000,1.9950,Java,secuencial
WinogradScaled,32,1,2545200,2.5452,Java,secuencial
StrassenNaiv,32,1,13134100,13.1341,Java,secuencial
StrassenWinograd,32,1,6739300,6.7393,Java,secuencial
CC_SequentialBlock,32,1,3786000,3.7860,Java,secuencial
CC_ParallelBlock,32,1,5726400,5.7264,Java,secuencial
RC_SequentialBlock,32,1,5956900,5.9569,Java,secuencial
RC_ParallelBlock,32,1,1618800,1.6188,Java,secuencial
RC_EnhancedParallelBlock,32,1,17826000,17.8260,Java,secuencial
RR_SequentialBlock,32,1,3258500,3.2585,Java,secuencial
RR_ParallelBlock,32,1,1643000,1.6430,Java,secuencial
RR_EnhancedParallelBlock,32,1,3290500,3.2905,Java,secuencial
NaivOnArray,32,2,83500,0.0835,Java,secuencial
NaivLoopUnrollingTwo,32,2,1726800,1.7268,Java,secuencial
NaivLoopUnrollingFour,32,2,1554900,1.5549,Java,secuencial
WinogradOriginal,32,2,1913800,1.9138,Java,secuencial
WinogradScaled,32,2,637800,0.6378,Java,secuencial
StrassenNaiv,32,2,8321600,8.3216,Java,secuencial
StrassenWinograd,32,2,10561900,10.5619,Java,secuencial
CC_SequentialBlock,32,2,2178100,2.1781,Java,secuencial
CC_ParallelBlock,32,2,2762200,2.7622,Java,secuencial
RC_SequentialBlock,32,2,4786500,4.7865,Java,secuencial
RC_ParallelBlock,32,2,4238900,4.2389,Java,secuencial
RC_EnhancedParallelBlock,32,2,1779600,1.7796,Java,secuencial
RR_SequentialBlock,32,2,2517600,2.5176,Java,secuencial
RR_ParallelBlock,32,2,1615400,1.6154,Java,secuencial
RR_EnhancedParallelBlock,32,2,4730000,4.7300,Java,secuencial
NaivOnArray,64,1,519600,0.5196,Java,secuencial
NaivLoopUnrollingTwo,64,1,4076700,4.0767,Java,secuencial
NaivLoopUnrollingFour,64,1,20604700,20.6047,Java,secuencial
WinogradOriginal,64,1,1784600,1.7846,Java,secuencial
WinogradScaled,64,1,4559200,4.5592,Java,secuencial
StrassenNaiv,64,1,36456700,36.4567,Java,secuencial
StrassenWinograd,64,1,36457900,36.4579,Java,secuencial
CC_SequentialBlock,64,1,2207800,2.2078,Java,secuencial
CC_ParallelBlock,64,1,5964500,5.9645,Java,secuencial
RC_SequentialBlock,64,1,2560500,2.5605,Java,secuencial
RC_ParallelBlock,64,1,4730100,4.7301,Java,secuencial
RC_EnhancedParallelBlock,64,1,9835100,9.8351,Java,secuencial
RR_SequentialBlock,64,1,2346700,2.3467,Java,secuencial
RR_ParallelBlock,64,1,3940000,3.9400,Java,secuencial
RR_EnhancedParallelBlock,64,1,14564500,14.5645,Java,secuencial
NaivOnArray,64,2,484500,0.4845,Java,secuencial
NaivLoopUnrollingTwo,64,2,1006600,1.0066,Java,secuencial
NaivLoopUnrollingFour,64,2,9005000,9.0050,Java,secuencial
WinogradOriginal,64,2,11736400,11.7364,Java,secuencial
WinogradScaled,64,2,3419000,3.4190,Java,secuencial
StrassenNaiv,64,2,41492800,41.4928,Java,secuencial
StrassenWinograd,64,2,33449700,33.4497,Java,secuencial
CC_SequentialBlock,64,2,1488800,1.4888,Java,secuencial
CC_ParallelBlock,64,2,1727300,1.7273,Java,secuencial
RC_SequentialBlock,64,2,892600,0.8926,Java,secuencial
RC_ParallelBlock,64,2,6069900,6.0699,Java,secuencial
RC_EnhancedParallelBlock,64,2,2371800,2.3718,Java,secuencial
RR_SequentialBlock,64,2,750300,0.7503,Java,secuencial
RR_ParallelBlock,64,2,1314000,1.3140,Java,secuencial
RR_EnhancedParallelBlock,64,2,2924900,2.9249,Java,secuencial
NaivOnArray,128,1,5936600,5.9366,Java,secuencial
NaivLoopUnrollingTwo,128,1,14285100,14.2851,Java,secuencial
NaivLoopUnrollingFour,128,1,8761000,8.7610,Java,secuencial
WinogradOriginal,128,1,7726300,7.7263,Java,secuencial
WinogradScaled,128,1,7990900,7.9909,Java,secuencial
StrassenNaiv,128,1,203981700,203.9817,Java,secuencial
StrassenWinograd,128,1,195660000,195.6600,Java,secuencial
CC_SequentialBlock,128,1,6664000,6.6640,Java,secuencial
CC_ParallelBlock,128,1,3413300,3.4133,Java,secuencial
RC_SequentialBlock,128,1,8515600,8.5156,Java,secuencial
RC_ParallelBlock,128,1,4138300,4.1383,Java,secuencial
RC_EnhancedParallelBlock,128,1,17323400,17.3234,Java,secuencial
RR_SequentialBlock,128,1,4811700,4.8117,Java,secuencial
RR_ParallelBlock,128,1,2190400,2.1904,Java,secuencial
RR_EnhancedParallelBlock,128,1,6120600,6.1206,Java,secuencial
NaivOnArray,128,2,4416000,4.4160,Java,secuencial
NaivLoopUnrollingTwo,128,2,8042200,8.0422,Java,secuencial
NaivLoopUnrollingFour,128,2,5550500,5.5505,Java,secuencial
WinogradOriginal,128,2,4991300,4.9913,Java,secuencial
WinogradScaled,128,2,9627500,9.6275,Java,secuencial
StrassenNaiv,128,2,229683500,229.6835,Java,secuencial
StrassenWinograd,128,2,225578600,225.5786,Java,secuencial
CC_SequentialBlock,128,2,5777100,5.7771,Java,secuencial
CC_ParallelBlock,128,2,3232600,3.2326,Java,secuencial
RC_SequentialBlock,128,2,4960000,4.9600,Java,secuencial
RC_ParallelBlock,128,2,1962000,1.9620,Java,secuencial
RC_EnhancedParallelBlock,128,2,3915400,3.9154,Java,secuencial
RR_SequentialBlock,128,2,3457700,3.4577,Java,secuencial
RR_ParallelBlock,128,2,2003500,2.0035,Java,secuencial
RR_EnhancedParallelBlock,128,2,6036700,6.0367,Java,secuencial
