algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,959200,0.9592,Python,secuencial
NaivLoopUnrollingTwo,16,1,4217200,4.2172,Python,secuencial
NaivLoopUnrollingFour,16,1,1108000,1.1080,Python,secuencial
WinogradOriginal,16,1,1278400,1.2784,Python,secuencial
WinogradScaled,16,1,1494400,1.4944,Python,secuencial
StrassenNaiv,16,1,6951600,6.9516,Python,secuencial
StrassenWinograd,16,1,12069600,12.0696,Python,secuencial
CC_SequentialBlock,16,1,1183200,1.1832,Python,secuencial
CC_ParallelBlock,16,1,14182800,14.1828,Python,secuencial
RC_SequentialBlock,16,1,1063800,1.0638,Python,secuencial
RC_ParallelBlock,16,1,11456300,11.4563,Python,secuencial
RC_EnhancedParallelBlock,16,1,22877200,22.8772,Python,secuencial
RR_SequentialBlock,16,1,955500,0.9555,Python,secuencial
RR_ParallelBlock,16,1,12574200,12.5742,Python,secuencial
RR_EnhancedParallelBlock,16,1,7518100,7.5181,Python,secuencial
NaivOnArray,16,2,3044900,3.0449,Python,secuencial
NaivLoopUnrollingTwo,16,2,1334300,1.3343,Python,secuencial
NaivLoopUnrollingFour,16,2,1044500,1.0445,Python,secuencial
WinogradOriginal,16,2,1341500,1.3415,Python,secuencial
WinogradScaled,16,2,1736600,1.7366,Python,secuencial
StrassenNaiv,16,2,7345600,7.3456,Python,secuencial
StrassenWinograd,16,2,11339700,11.3397,Python,secuencial
CC_SequentialBlock,16,2,1188300,1.1883,Python,secuencial
CC_ParallelBlock,16,2,3132700,3.1327,Python,secuencial
RC_SequentialBlock,16,2,1188700,1.1887,Python,secuencial
RC_ParallelBlock,16,2,16177200,16.1772,Python,secuencial
RC_EnhancedParallelBlock,16,2,11184300,11.1843,Python,secuencial
RR_SequentialBlock,16,2,1141200,1.1412,Python,secuencial
RR_ParallelBlock,16,2,3383000,3.3830,Python,secuencial
RR_EnhancedParallelBlock,16,2,13611100,13.6111,Python,secuencial
NaivOnArray,32,1,10017800,10.0178,Python,secuencial
NaivLoopUnrollingTwo,32,1,20298500,20.2985,Python,secuencial
NaivLoopUnrollingFour,32,1,12171300,12.1713,Python,secuencial
WinogradOriginal,32,1,15400700,15.4007,Python,secuencial
WinogradScaled,32,1,17406100,17.4061,Python,secuencial
StrassenNaiv,32,1,83751900,83.7519,Python,secuencial
StrassenWinograd,32,1,104389400,104.3894,Python,secuencial
CC_SequentialBlock,32,1,15700800,15.7008,Python,secuencial
CC_ParallelBlock,32,1,37551400,37.5514,Python,secuencial
RC_SequentialBlock,32,1,12505500,12.5055,Python,secuencial
RC_ParallelBlock,32,1,62598200,62.5982,Python,secuencial
RC_EnhancedParallelBlock,32,1,69132800,69.1328,Python,secuencial
RR_SequentialBlock,32,1,12415600,12.4156,Python,secuencial
RR_ParallelBlock,32,1,108529000,108.5290,Python,secuencial
RR_EnhancedParallelBlock,32,1,121378700,121.3787,Python,secuencial
NaivOnArray,32,2,8391900,8.3919,Python,secuencial
NaivLoopUnrollingTwo,32,2,14501800,14.5018,Python,secuencial
NaivLoopUnrollingFour,32,2,12073700,12.0737,Python,secuencial
WinogradOriginal,32,2,25311700,25.3117,Python,secuencial
WinogradScaled,32,2,20699600,20.6996,Python,secuencial
StrassenNaiv,32,2,105584500,105.5845,Python,secuencial
StrassenWinograd,32,2,85863000,85.8630,Python,secuencial
CC_SequentialBlock,32,2,17976500,17.9765,Python,secuencial
CC_ParallelBlock,32,2,54671000,54.6710,Python,secuencial
RC_SequentialBlock,32,2,11384300,11.3843,Python,secuencial
RC_ParallelBlock,32,2,83567600,83.5676,Python,secuencial
RC_EnhancedParallelBlock,32,2,117234300,117.2343,Python,secuencial
RR_SequentialBlock,32,2,12735900,12.7359,Python,secuencial
RR_ParallelBlock,32,2,20804800,20.8048,Python,secuencial
RR_EnhancedParallelBlock,32,2,80425500,80.4255,Python,secuencial
NaivOnArray,64,1,107970800,107.9708,Python,secuencial
NaivLoopUnrollingTwo,64,1,143797100,143.7971,Python,secuencial
NaivLoopUnrollingFour,64,1,89127000,89.1270,Python,secuencial
WinogradOriginal,64,1,143640200,143.6402,Python,secuencial
WinogradScaled,64,1,124823500,124.8235,Python,secuencial
StrassenNaiv,64,1,681210400,681.2104,Python,secuencial
StrassenWinograd,64,1,907746300,907.7463,Python,secuencial
CC_SequentialBlock,64,1,119267900,119.2679,Python,secuencial
CC_ParallelBlock,64,1,205237900,205.2379,Python,secuencial
RC_SequentialBlock,64,1,101415800,101.4158,Python,secuencial
RC_ParallelBlock,64,1,118179100,118.1791,Python,secuencial
RC_EnhancedParallelBlock,64,1,110673500,110.6735,Python,secuencial
