tamaño,CC_ParallelBlock,CC_SequentialBlock,NaivLoopUnrollingFour,NaivLoopUnrollingTwo,NaivOnArray,RC_EnhancedParallelBlock,RC_ParallelBlock,RC_SequentialBlock,RR_EnhancedParallelBlock,RR_ParallelBlock,RR_SequentialBlock,StrassenNaiv,StrassenWinograd,WinogradOriginal,WinogradScaled
16,11.4060,1.3088,1.0171,1.1591,0.9954,20.6946,3.8579,1.2510,16.6266,3.4688,1.1199,4.3641,1.9182,3.8222,1.2203
32,4.2443,2.9821,1.5514,1.6205,0.0862,9.8028,2.9289,5.3717,4.0103,1.6292,2.8881,10.7279,8.6506,1.9544,1.5915
64,3.8459,1.8483,14.8049,2.5416,0.5021,6.1035,5.4000,1.7266,8.7447,2.6270,1.5485,38.9748,34.9538,6.7605,3.9891
128,3.3230,6.2205,7.1557,11.1637,5.1763,10.6194,3.0502,6.7378,6.0787,2.0969,4.1347,216.8326,210.6193,6.3588,8.8092
