algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,256,1,104214200,104.2142,Java,secuencial
NaivLoopUnrollingTwo,256,1,109831500,109.8315,Java,secuencial
NaivLoopUnrollingFour,256,1,106620000,106.6200,Java,secuencial
WinogradOriginal,256,1,150842100,150.8421,Java,secuencial
WinogradScaled,256,1,76795200,76.7952,Java,secuencial
StrassenNaiv,256,1,2063558500,2063.5585,Java,secuencial
StrassenWinograd,256,1,2683172200,2683.1722,Java,secuencial
CC_SequentialBlock,256,1,177661800,177.6618,Java,secuencial
CC_ParallelBlock,256,1,131805300,131.8053,Java,secuencial
RC_SequentialBlock,256,1,106057600,106.0576,Java,secuencial
RC_ParallelBlock,256,1,117681400,117.6814,Java,secuencial
RC_EnhancedParallelBlock,256,1,96312700,96.3127,Java,secuencial
RR_SequentialBlock,256,1,104957300,104.9573,Java,secuencial
RR_ParallelBlock,256,1,105834300,105.8343,Java,secuencial
RR_EnhancedParallelBlock,256,1,71643100,71.6431,Java,secuencial
NaivOnArray,256,2,74185900,74.1859,Java,secuencial
NaivLoopUnrollingTwo,256,2,72684700,72.6847,Java,secuencial
NaivLoopUnrollingFour,256,2,62146900,62.1469,Java,secuencial
WinogradOriginal,256,2,67085600,67.0856,Java,secuencial
WinogradScaled,256,2,65957100,65.9571,Java,secuencial
StrassenNaiv,256,2,2001159000,2001.1590,Java,secuencial
StrassenWinograd,256,2,1722012700,1722.0127,Java,secuencial
CC_SequentialBlock,256,2,76103800,76.1038,Java,secuencial
CC_ParallelBlock,256,2,36461600,36.4616,Java,secuencial
RC_SequentialBlock,256,2,56366200,56.3662,Java,secuencial
RC_ParallelBlock,256,2,23984300,23.9843,Java,secuencial
RC_EnhancedParallelBlock,256,2,53257300,53.2573,Java,secuencial
RR_SequentialBlock,256,2,77739600,77.7396,Java,secuencial
RR_ParallelBlock,256,2,32614200,32.6142,Java,secuencial
RR_EnhancedParallelBlock,256,2,61503500,61.5035,Java,secuencial
