algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,1048900,1.0489,Python,secuencial
NaivLoopUnrollingTwo,16,1,1325500,1.3255,Python,secuencial
NaivLoopUnrollingFour,16,1,1026300,1.0263,Python,secuencial
WinogradOriginal,16,1,1344400,1.3444,Python,secuencial
WinogradScaled,16,1,1604100,1.6041,Python,secuencial
StrassenNaiv,16,1,9123600,9.1236,Python,secuencial
StrassenWinograd,16,1,8241400,8.2414,Python,secuencial
CC_SequentialBlock,16,1,1267900,1.2679,Python,secuencial
CC_ParallelBlock,16,1,4151900,4.1519,Python,secuencial
RC_SequentialBlock,16,1,1110400,1.1104,Python,secuencial
RC_ParallelBlock,16,1,1839600,1.8396,Python,secuencial
RC_EnhancedParallelBlock,16,1,2700300,2.7003,Python,secuencial
RR_SequentialBlock,16,1,1193500,1.1935,Python,secuencial
RR_ParallelBlock,16,1,2040900,2.0409,Python,secuencial
RR_EnhancedParallelBlock,16,1,2574600,2.5746,Python,secuencial
NaivOnArray,16,2,1049600,1.0496,Python,secuencial
NaivLoopUnrollingTwo,16,2,2402700,2.4027,Python,secuencial
NaivLoopUnrollingFour,16,2,994200,0.9942,Python,secuencial
WinogradOriginal,16,2,1206000,1.2060,Python,secuencial
WinogradScaled,16,2,1596500,1.5965,Python,secuencial
StrassenNaiv,16,2,7574500,7.5745,Python,secuencial
StrassenWinograd,16,2,9410400,9.4104,Python,secuencial
CC_SequentialBlock,16,2,1290900,1.2909,Python,secuencial
CC_ParallelBlock,16,2,1664600,1.6646,Python,secuencial
RC_SequentialBlock,16,2,1050600,1.0506,Python,secuencial
RC_ParallelBlock,16,2,1816000,1.8160,Python,secuencial
RC_EnhancedParallelBlock,16,2,3182300,3.1823,Python,secuencial
RR_SequentialBlock,16,2,836300,0.8363,Python,secuencial
RR_ParallelBlock,16,2,3471800,3.4718,Python,secuencial
RR_EnhancedParallelBlock,16,2,2921200,2.9212,Python,secuencial
