algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
RC_EnhancedParallelBlock,64,2,7879800,7.8798,Java,secuencial
RR_SequentialBlock,64,2,1055700,1.0557,Java,secuencial
RR_ParallelBlock,64,2,8360800,8.3608,Java,secuencial
RR_EnhancedParallelBlock,64,2,3471000,3.4710,Java,secuencial
NaivOnArray,128,1,4735700,4.7357,Java,secuencial
NaivLoopUnrollingTwo,128,1,28928100,28.9281,Java,secuencial
NaivLoopUnrollingFour,128,1,9526900,9.5269,Java,secuencial
WinogradOriginal,128,1,4711400,4.7114,Java,secuencial
WinogradScaled,128,1,27427500,27.4275,Java,secuencial
StrassenNaiv,128,1,335585100,335.5851,Java,secuencial
StrassenWinograd,128,1,222078500,222.0785,Java,secuencial
CC_SequentialBlock,128,1,11828300,11.8283,Java,secuencial
CC_ParallelBlock,128,1,5224700,5.2247,Java,secuencial
RC_SequentialBlock,128,1,10431400,10.4314,Java,secuencial
RC_ParallelBlock,128,1,3800300,3.8003,Java,secuencial
RC_EnhancedParallelBlock,128,1,16261200,16.2612,Java,secuencial
RR_SequentialBlock,128,1,10125900,10.1259,Java,secuencial
RR_ParallelBlock,128,1,2629300,2.6293,Java,secuencial
RR_EnhancedParallelBlock,128,1,48832200,48.8322,Java,secuencial
NaivOnArray,128,2,10457100,10.4571,Java,secuencial
NaivLoopUnrollingTwo,128,2,7971400,7.9714,Java,secuencial
NaivLoopUnrollingFour,128,2,11930200,11.9302,Java,secuencial
WinogradOriginal,128,2,3768300,3.7683,Java,secuencial
WinogradScaled,128,2,12902100,12.9021,Java,secuencial
StrassenNaiv,128,2,285697500,285.6975,Java,secuencial
StrassenWinograd,128,2,347719300,347.7193,Java,secuencial
CC_SequentialBlock,128,2,16494300,16.4943,Java,secuencial
CC_ParallelBlock,128,2,2933700,2.9337,Java,secuencial
RC_SequentialBlock,128,2,6515900,6.5159,Java,secuencial
RC_ParallelBlock,128,2,10484100,10.4841,Java,secuencial
RC_EnhancedParallelBlock,128,2,16019300,16.0193,Java,secuencial
RR_SequentialBlock,128,2,3322800,3.3228,Java,secuencial
RR_ParallelBlock,128,2,2061700,2.0617,Java,secuencial
RR_EnhancedParallelBlock,128,2,8362500,8.3625,Java,secuencial
