algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
RC_ParallelBlock,64,2,85090400,85.0904,Python,secuencial
RC_EnhancedParallelBlock,64,2,89192000,89.1920,Python,secuencial
RR_SequentialBlock,64,2,78813600,78.8136,Python,secuencial
RR_ParallelBlock,64,2,112772000,112.7720,Python,secuencial
RR_EnhancedParallelBlock,64,2,115082000,115.0820,Python,secuencial
NaivOnArray,128,1,655389800,655.3898,Python,secuencial
NaivLoopUnrollingTwo,128,1,736486800,736.4868,Python,secuencial
NaivLoopUnrollingFour,128,1,588131800,588.1318,Python,secuencial
WinogradOriginal,128,1,657313900,657.3139,Python,secuencial
WinogradScaled,128,1,743539900,743.5399,Python,secuencial
StrassenNaiv,128,1,3461814600,3461.8146,Python,secuencial
StrassenWinograd,128,1,3930946600,3930.9466,Python,secuencial
CC_SequentialBlock,128,1,1248493000,1248.4930,Python,secuencial
CC_ParallelBlock,128,1,635225200,635.2252,Python,secuencial
RC_SequentialBlock,128,1,618452100,618.4521,Python,secuencial
RC_ParallelBlock,128,1,682095700,682.0957,Python,secuencial
RC_EnhancedParallelBlock,128,1,690553900,690.5539,Python,secuencial
RR_SequentialBlock,128,1,726723200,726.7232,Python,secuencial
RR_ParallelBlock,128,1,660432100,660.4321,Python,secuencial
RR_EnhancedParallelBlock,128,1,601124500,601.1245,Python,secuencial
NaivOnArray,128,2,560341600,560.3416,Python,secuencial
NaivLoopUnrollingTwo,128,2,672157200,672.1572,Python,secuencial
NaivLoopUnrollingFour,128,2,464839200,464.8392,Python,secuencial
WinogradOriginal,128,2,605590500,605.5905,Python,secuencial
WinogradScaled,128,2,557030400,557.0304,Python,secuencial
StrassenNaiv,128,2,2585439000,2585.4390,Python,secuencial
StrassenWinograd,128,2,2361402100,2361.4021,Python,secuencial
CC_SequentialBlock,128,2,693061600,693.0616,Python,secuencial
CC_ParallelBlock,128,2,543604800,543.6048,Python,secuencial
RC_SequentialBlock,128,2,468694600,468.6946,Python,secuencial
RC_ParallelBlock,128,2,485198700,485.1987,Python,secuencial
RC_EnhancedParallelBlock,128,2,547018000,547.0180,Python,secuencial
RR_SequentialBlock,128,2,456635900,456.6359,Python,secuencial
RR_ParallelBlock,128,2,482812000,482.8120,Python,secuencial
RR_EnhancedParallelBlock,128,2,477532400,477.5324,Python,secuencial
