tamaño,CC_ParallelBlock,CC_SequentialBlock,NaivLoopUnrollingFour,NaivLoopUnrollingTwo,NaivOnArray,RC_EnhancedParallelBlock,RC_ParallelBlock,RC_SequentialBlock,RR_EnhancedParallelBlock,RR_ParallelBlock,RR_SequentialBlock,StrassenNaiv,StrassenWinograd,WinogradOriginal,WinogradScaled
16,14.6775,2.2717,7.6884,4.4102,1.3884,9.1533,3.3246,2.7758,9.6530,2.9081,1.6735,4.3048,2.9457,1.4173,1.4320
32,2.6606,3.1972,2.1594,1.8207,0.0712,8.0341,4.4233,2.1392,4.5664,1.5777,2.3964,5.2680,7.5712,2.1864,1.5652
64,11.6679,17.1549,6.1152,3.3274,0.4194,63.4024,4.3721,11.8436,105.3331,3.1119,10.4242,47.5096,83.6243,1.4590,2.1225
128,2.8624,7.1937,10.8258,24.0591,4.1890,7.1547,1.9688,5.8965,6.3055,1.9864,3.9208,258.2522,272.0857,5.6500,9.1641
