algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,16,1.3884,0.0373,2.7394,2
NaivLoopUnrollingTwo,16,4.4102,0.2546,8.5657,2
NaivLoopUnrollingFour,16,7.6884,0.2153,15.1615,2
WinogradOriginal,16,1.4173,0.2523,2.5824,2
WinogradScaled,16,1.4320,0.3515,2.5125,2
StrassenNaiv,16,4.3048,1.8668,6.7427,2
StrassenWinograd,16,2.9457,1.0460,4.8453,2
CC_SequentialBlock,16,2.2717,0.3697,4.1736,2
CC_ParallelBlock,16,14.6775,0.3567,28.9983,2
RC_SequentialBlock,16,2.7758,0.2717,5.2798,2
RC_ParallelBlock,16,3.3246,0.3918,6.2573,2
RC_EnhancedParallelBlock,16,9.1533,7.9777,10.3289,2
RR_SequentialBlock,16,1.6735,0.2883,3.0587,2
RR_ParallelBlock,16,2.9081,0.3314,5.4848,2
RR_EnhancedParallelBlock,16,9.6530,2.0664,17.2395,2
NaivOnArray,32,0.0712,0.0636,0.0788,2
NaivLoopUnrollingTwo,32,1.8207,1.4094,2.2319,2
NaivLoopUnrollingFour,32,2.1594,1.4684,2.8504,2
WinogradOriginal,32,2.1864,1.9515,2.4212,2
WinogradScaled,32,1.5652,1.0101,2.1203,2
StrassenNaiv,32,5.2680,5.1860,5.3499,2
StrassenWinograd,32,7.5712,7.1414,8.0010,2
CC_SequentialBlock,32,3.1972,2.1197,4.2747,2
CC_ParallelBlock,32,2.6606,1.7692,3.5520,2
RC_SequentialBlock,32,2.1392,2.1127,2.1658,2
RC_ParallelBlock,32,4.4233,2.6645,6.1820,2
RC_EnhancedParallelBlock,32,8.0341,6.1869,9.8812,2
RR_SequentialBlock,32,2.3964,2.0398,2.7529,2
RR_ParallelBlock,32,1.5777,1.4216,1.7338,2
RR_EnhancedParallelBlock,32,4.5664,2.9083,6.2245,2
NaivOnArray,64,0.4194,0.3714,0.4674,2
NaivLoopUnrollingTwo,64,3.3274,3.1265,3.5283,2
NaivLoopUnrollingFour,64,6.1152,0.9946,11.2357,2
WinogradOriginal,64,1.4590,0.6865,2.2315,2
WinogradScaled,64,2.1225,1.6184,2.6265,2
StrassenNaiv,64,47.5096,43.7933,51.2258,2
StrassenWinograd,64,83.6243,77.2251,90.0235,2
CC_SequentialBlock,64,17.1549,10.4106,23.8991,2
CC_ParallelBlock,64,11.6679,10.4429,12.8928,2
RC_SequentialBlock,64,11.8436,11.0654,12.6217,2
RC_ParallelBlock,64,4.3721,4.0360,4.7081,2
RC_EnhancedParallelBlock,64,63.4024,23.9924,102.8124,2
RR_SequentialBlock,64,10.4242,2.5733,18.2751,2
RR_ParallelBlock,64,3.1119,1.4750,4.7488,2
RR_EnhancedParallelBlock,64,105.3331,65.8086,144.8577,2
NaivOnArray,128,4.1890,3.2391,5.1389,2
NaivLoopUnrollingTwo,128,24.0591,5.0798,43.0384,2
NaivLoopUnrollingFour,128,10.8258,7.0751,14.5764,2
WinogradOriginal,128,5.6500,4.3924,6.9076,2
WinogradScaled,128,9.1641,6.6495,11.6786,2
StrassenNaiv,128,258.2522,238.5125,277.9919,2
StrassenWinograd,128,272.0857,232.4314,311.7401,2
CC_SequentialBlock,128,7.1937,6.4564,7.9310,2
CC_ParallelBlock,128,2.8624,2.7567,2.9681,2
RC_SequentialBlock,128,5.8965,5.4698,6.3232,2
RC_ParallelBlock,128,1.9688,1.9657,1.9718,2
RC_EnhancedParallelBlock,128,7.1547,5.0723,9.2370,2
RR_SequentialBlock,128,3.9208,2.9179,4.9238,2
RR_ParallelBlock,128,1.9864,1.5315,2.4412,2
RR_EnhancedParallelBlock,128,6.3055,3.6326,8.9784,2
