algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,2877800,2.8778,Java,secuencial
NaivLoopUnrollingTwo,16,1,2793200,2.7932,Java,secuencial
NaivLoopUnrollingFour,16,1,7226500,7.2265,Java,secuencial
WinogradOriginal,16,1,3118200,3.1182,Java,secuencial
WinogradScaled,16,1,3299600,3.2996,Java,secuencial
StrassenNaiv,16,1,9511800,9.5118,Java,secuencial
StrassenWinograd,16,1,12973700,12.9737,Java,secuencial
CC_SequentialBlock,16,1,3294100,3.2941,Java,secuencial
CC_ParallelBlock,16,1,48871400,48.8714,Java,secuencial
RC_SequentialBlock,16,1,2977700,2.9777,Java,secuencial
RC_ParallelBlock,16,1,5219300,5.2193,Java,secuencial
RC_EnhancedParallelBlock,16,1,16087900,16.0879,Java,secuencial
RR_SequentialBlock,16,1,6234700,6.2347,Java,secuencial
RR_ParallelBlock,16,1,5097100,5.0971,Java,secuencial
RR_EnhancedParallelBlock,16,1,60471500,60.4715,Java,secuencial
NaivOnArray,16,2,42300,0.0423,Java,secuencial
NaivLoopUnrollingTwo,16,2,374900,0.3749,Java,secuencial
NaivLoopUnrollingFour,16,2,254800,0.2548,Java,secuencial
WinogradOriginal,16,2,316100,0.3161,Java,secuencial
WinogradScaled,16,2,414200,0.4142,Java,secuencial
StrassenNaiv,16,2,5861200,5.8612,Java,secuencial
StrassenWinograd,16,2,905100,0.9051,Java,secuencial
CC_SequentialBlock,16,2,544400,0.5444,Java,secuencial
CC_ParallelBlock,16,2,353800,0.3538,Java,secuencial
RC_SequentialBlock,16,2,277300,0.2773,Java,secuencial
RC_ParallelBlock,16,2,365300,0.3653,Java,secuencial
RC_EnhancedParallelBlock,16,2,35146100,35.1461,Java,secuencial
RR_SequentialBlock,16,2,1073000,1.0730,Java,secuencial
RR_ParallelBlock,16,2,432200,0.4322,Java,secuencial
RR_EnhancedParallelBlock,16,2,32458600,32.4586,Java,secuencial
NaivOnArray,32,1,80500,0.0805,Java,secuencial
NaivLoopUnrollingTwo,32,1,1602500,1.6025,Java,secuencial
NaivLoopUnrollingFour,32,1,1769200,1.7692,Java,secuencial
WinogradOriginal,32,1,2242000,2.2420,Java,secuencial
WinogradScaled,32,1,2857200,2.8572,Java,secuencial
StrassenNaiv,32,1,13838100,13.8381,Java,secuencial
StrassenWinograd,32,1,33684600,33.6846,Java,secuencial
CC_SequentialBlock,32,1,2339700,2.3397,Java,secuencial
CC_ParallelBlock,32,1,7662400,7.6624,Java,secuencial
RC_SequentialBlock,32,1,2542400,2.5424,Java,secuencial
RC_ParallelBlock,32,1,3139000,3.1390,Java,secuencial
RC_EnhancedParallelBlock,32,1,9826300,9.8263,Java,secuencial
RR_SequentialBlock,32,1,2727800,2.7278,Java,secuencial
RR_ParallelBlock,32,1,1983600,1.9836,Java,secuencial
RR_EnhancedParallelBlock,32,1,4752200,4.7522,Java,secuencial
NaivOnArray,32,2,267100,0.2671,Java,secuencial
NaivLoopUnrollingTwo,32,2,1917600,1.9176,Java,secuencial
NaivLoopUnrollingFour,32,2,2679400,2.6794,Java,secuencial
WinogradOriginal,32,2,8161100,8.1611,Java,secuencial
WinogradScaled,32,2,794400,0.7944,Java,secuencial
StrassenNaiv,32,2,6867200,6.8672,Java,secuencial
StrassenWinograd,32,2,5939100,5.9391,Java,secuencial
CC_SequentialBlock,32,2,8987000,8.9870,Java,secuencial
CC_ParallelBlock,32,2,1607400,1.6074,Java,secuencial
RC_SequentialBlock,32,2,2550300,2.5503,Java,secuencial
RC_ParallelBlock,32,2,1605600,1.6056,Java,secuencial
RC_EnhancedParallelBlock,32,2,8413600,8.4136,Java,secuencial
RR_SequentialBlock,32,2,2624000,2.6240,Java,secuencial
RR_ParallelBlock,32,2,2572100,2.5721,Java,secuencial
RR_EnhancedParallelBlock,32,2,13872900,13.8729,Java,secuencial
NaivOnArray,64,1,611200,0.6112,Java,secuencial
NaivLoopUnrollingTwo,64,1,4361800,4.3618,Java,secuencial
NaivLoopUnrollingFour,64,1,12375500,12.3755,Java,secuencial
WinogradOriginal,64,1,2187700,2.1877,Java,secuencial
WinogradScaled,64,1,5048100,5.0481,Java,secuencial
StrassenNaiv,64,1,59949600,59.9496,Java,secuencial
StrassenWinograd,64,1,62392200,62.3922,Java,secuencial
CC_SequentialBlock,64,1,8067500,8.0675,Java,secuencial
CC_ParallelBlock,64,1,3920600,3.9206,Java,secuencial
RC_SequentialBlock,64,1,2655100,2.6551,Java,secuencial
RC_ParallelBlock,64,1,8452100,8.4521,Java,secuencial
RC_EnhancedParallelBlock,64,1,64943000,64.9430,Java,secuencial
RR_SequentialBlock,64,1,5707200,5.7072,Java,secuencial
RR_ParallelBlock,64,1,8860400,8.8604,Java,secuencial
RR_EnhancedParallelBlock,64,1,28926900,28.9269,Java,secuencial
NaivOnArray,64,2,488000,0.4880,Java,secuencial
NaivLoopUnrollingTwo,64,2,4056700,4.0567,Java,secuencial
NaivLoopUnrollingFour,64,2,1045500,1.0455,Java,secuencial
WinogradOriginal,64,2,895200,0.8952,Java,secuencial
WinogradScaled,64,2,8533900,8.5339,Java,secuencial
StrassenNaiv,64,2,56174700,56.1747,Java,secuencial
StrassenWinograd,64,2,46126400,46.1264,Java,secuencial
CC_SequentialBlock,64,2,5901900,5.9019,Java,secuencial
CC_ParallelBlock,64,2,1589200,1.5892,Java,secuencial
RC_SequentialBlock,64,2,1072800,1.0728,Java,secuencial
