algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,16,1.4601,0.0423,2.8778,2
NaivLoopUnrollingTwo,16,1.5841,0.3749,2.7932,2
NaivLoopUnrollingFour,16,3.7407,0.2548,7.2265,2
WinogradOriginal,16,1.7172,0.3161,3.1182,2
WinogradScaled,16,1.8569,0.4142,3.2996,2
StrassenNaiv,16,7.6865,5.8612,9.5118,2
StrassenWinograd,16,6.9394,0.9051,12.9737,2
CC_SequentialBlock,16,1.9193,0.5444,3.2941,2
CC_ParallelBlock,16,24.6126,0.3538,48.8714,2
RC_SequentialBlock,16,1.6275,0.2773,2.9777,2
RC_ParallelBlock,16,2.7923,0.3653,5.2193,2
RC_EnhancedParallelBlock,16,25.6170,16.0879,35.1461,2
RR_SequentialBlock,16,3.6539,1.0730,6.2347,2
RR_ParallelBlock,16,2.7647,0.4322,5.0971,2
RR_EnhancedParallelBlock,16,46.4651,32.4586,60.4715,2
NaivOnArray,32,0.1738,0.0805,0.2671,2
NaivLoopUnrollingTwo,32,1.7601,1.6025,1.9176,2
NaivLoopUnrollingFour,32,2.2243,1.7692,2.6794,2
WinogradOriginal,32,5.2016,2.2420,8.1611,2
WinogradScaled,32,1.8258,0.7944,2.8572,2
StrassenNaiv,32,10.3527,6.8672,13.8381,2
StrassenWinograd,32,19.8119,5.9391,33.6846,2
CC_SequentialBlock,32,5.6634,2.3397,8.9870,2
CC_ParallelBlock,32,4.6349,1.6074,7.6624,2
RC_SequentialBlock,32,2.5464,2.5424,2.5503,2
RC_ParallelBlock,32,2.3723,1.6056,3.1390,2
RC_EnhancedParallelBlock,32,9.1200,8.4136,9.8263,2
RR_SequentialBlock,32,2.6759,2.6240,2.7278,2
RR_ParallelBlock,32,2.2779,1.9836,2.5721,2
RR_EnhancedParallelBlock,32,9.3126,4.7522,13.8729,2
NaivOnArray,64,0.5496,0.4880,0.6112,2
NaivLoopUnrollingTwo,64,4.2093,4.0567,4.3618,2
NaivLoopUnrollingFour,64,6.7105,1.0455,12.3755,2
WinogradOriginal,64,1.5415,0.8952,2.1877,2
WinogradScaled,64,6.7910,5.0481,8.5339,2
StrassenNaiv,64,58.0622,56.1747,59.9496,2
StrassenWinograd,64,54.2593,46.1264,62.3922,2
CC_SequentialBlock,64,6.9847,5.9019,8.0675,2
CC_ParallelBlock,64,2.7549,1.5892,3.9206,2
RC_SequentialBlock,64,1.8640,1.0728,2.6551,2
RC_ParallelBlock,64,5.8366,3.2210,8.4521,2
RC_EnhancedParallelBlock,64,46.1820,27.4210,64.9430,2
RR_SequentialBlock,64,3.3393,0.9713,5.7072,2
RR_ParallelBlock,64,5.2565,1.6526,8.8604,2
RR_EnhancedParallelBlock,64,31.5609,28.9269,34.1949,2
NaivOnArray,128,4.2368,4.0410,4.4325,2
NaivLoopUnrollingTwo,128,12.4331,10.0222,14.8439,2
NaivLoopUnrollingFour,128,6.8657,4.9554,8.7760,2
WinogradOriginal,128,12.7438,9.0121,16.4755,2
WinogradScaled,128,15.6369,15.4410,15.8328,2
StrassenNaiv,128,315.7623,305.8663,325.6583,2
StrassenWinograd,128,339.0415,294.5438,383.5392,2
CC_SequentialBlock,128,12.3742,8.9092,15.8391,2
CC_ParallelBlock,128,6.0886,6.0229,6.1542,2
RC_SequentialBlock,128,5.5131,5.1078,5.9184,2
RC_ParallelBlock,128,2.0599,1.9244,2.1953,2
RC_EnhancedParallelBlock,128,23.8039,22.9811,24.6266,2
RR_SequentialBlock,128,4.5081,3.4682,5.5480,2
RR_ParallelBlock,128,2.4262,2.2949,2.5574,2
RR_EnhancedParallelBlock,128,21.1970,19.2946,23.0995,2
