tamaño,CC_ParallelBlock,CC_SequentialBlock,NaivLoopUnrollingFour,NaivLoopUnrollingTwo,NaivOnArray,RC_EnhancedParallelBlock,RC_ParallelBlock,RC_SequentialBlock,RR_EnhancedParallelBlock,RR_ParallelBlock,RR_SequentialBlock,StrassenNaiv,StrassenWinograd,WinogradOriginal,WinogradScaled
16,9.9512,3.8600,2.0435,1.7495,5.5709,13.4193,5.1811,9.8215,22.9263,2.2293,2.9974,7.2898,5.8239,2.5107,2.6043
32,11.4099,6.1936,5.0574,3.2632,0.5473,7.2759,3.6859,4.3646,15.8288,14.6213,7.0951,23.7723,17.8071,7.5087,12.5966
64,4.0339,16.7502,26.9827,32.4715,3.2999,14.1169,5.7939,12.9947,45.0041,7.3771,3.4527,75.8352,86.3976,8.1675,9.9561
128,3.8521,15.6967,31.8415,14.9082,8.2000,9.5626,2.8953,9.7231,21.1317,10.1318,12.9647,373.0505,328.2253,12.9591,14.7597
