algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,16,5.5709,0.0641,11.0777,2
NaivLoopUnrollingTwo,16,1.7495,0.2703,3.2286,2
NaivLoopUnrollingFour,16,2.0435,0.2635,3.8235,2
WinogradOriginal,16,2.5107,0.5847,4.4366,2
WinogradScaled,16,2.6043,0.6223,4.5862,2
StrassenNaiv,16,7.2898,1.5825,12.9972,2
StrassenWinograd,16,5.8239,2.1708,9.4769,2
CC_SequentialBlock,16,3.8600,0.7702,6.9497,2
CC_ParallelBlock,16,9.9512,0.5091,19.3932,2
RC_SequentialBlock,16,9.8215,2.7283,16.9147,2
RC_ParallelBlock,16,5.1811,0.5108,9.8514,2
RC_EnhancedParallelBlock,16,13.4193,3.8130,23.0255,2
RR_SequentialBlock,16,2.9974,0.3861,5.6087,2
RR_ParallelBlock,16,2.2293,0.4204,4.0383,2
RR_EnhancedParallelBlock,16,22.9263,4.4864,41.3661,2
NaivOnArray,32,0.5473,0.1920,0.9026,2
NaivLoopUnrollingTwo,32,3.2632,1.7245,4.8019,2
NaivLoopUnrollingFour,32,5.0574,4.3972,5.7175,2
WinogradOriginal,32,7.5087,3.7024,11.3150,2
WinogradScaled,32,12.5966,6.9599,18.2333,2
StrassenNaiv,32,23.7723,20.6274,26.9172,2
StrassenWinograd,32,17.8071,8.2789,27.3353,2
CC_SequentialBlock,32,6.1936,4.8307,7.5564,2
CC_ParallelBlock,32,11.4099,9.1836,13.6361,2
RC_SequentialBlock,32,4.3646,3.1755,5.5537,2
RC_ParallelBlock,32,3.6859,3.2007,4.1711,2
RC_EnhancedParallelBlock,32,7.2759,6.5286,8.0231,2
RR_SequentialBlock,32,7.0951,5.6457,8.5445,2
RR_ParallelBlock,32,14.6213,1.8208,27.4218,2
RR_EnhancedParallelBlock,32,15.8288,6.6623,24.9953,2
NaivOnArray,64,3.2999,0.5323,6.0674,2
NaivLoopUnrollingTwo,64,32.4715,2.0860,62.8570,2
NaivLoopUnrollingFour,64,26.9827,1.7172,52.2482,2
WinogradOriginal,64,8.1675,4.3006,12.0343,2
WinogradScaled,64,9.9561,1.7218,18.1903,2
StrassenNaiv,64,75.8352,69.5121,82.1583,2
StrassenWinograd,64,86.3976,51.3554,121.4398,2
CC_SequentialBlock,64,16.7502,1.2015,32.2988,2
CC_ParallelBlock,64,4.0339,3.7833,4.2844,2
RC_SequentialBlock,64,12.9947,0.9929,24.9965,2
RC_ParallelBlock,64,5.7939,3.2022,8.3856,2
RC_EnhancedParallelBlock,64,14.1169,12.5108,15.7229,2
RR_SequentialBlock,64,3.4527,3.0398,3.8655,2
RR_ParallelBlock,64,7.3771,6.0399,8.7142,2
RR_EnhancedParallelBlock,64,45.0041,33.3446,56.6637,2
NaivOnArray,128,8.2000,8.1932,8.2067,2
NaivLoopUnrollingTwo,128,14.9082,14.2290,15.5874,2
NaivLoopUnrollingFour,128,31.8415,5.0689,58.6141,2
WinogradOriginal,128,12.9591,5.8364,20.0818,2
WinogradScaled,128,14.7597,9.2546,20.2648,2
StrassenNaiv,128,373.0505,361.7827,384.3183,2
StrassenWinograd,128,328.2253,320.8149,335.6356,2
CC_SequentialBlock,128,15.6967,14.6563,16.7370,2
CC_ParallelBlock,128,3.8521,3.6468,4.0574,2
RC_SequentialBlock,128,9.7231,9.2200,10.2261,2
RC_ParallelBlock,128,2.8953,2.7737,3.0170,2
RC_EnhancedParallelBlock,128,9.5626,9.5345,9.5906,2
RR_SequentialBlock,128,12.9647,4.4542,21.4751,2
RR_ParallelBlock,128,10.1318,7.1687,13.0949,2
RR_EnhancedParallelBlock,128,21.1317,14.1988,28.0646,2
