algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,32,1,2906500,2.9065,Java,secuencial
NaivLoopUnrollingTwo,32,1,3162300,3.1623,Java,secuencial
NaivLoopUnrollingFour,32,1,2505100,2.5051,Java,secuencial
WinogradOriginal,32,1,3126400,3.1264,Java,secuencial
WinogradScaled,32,1,2847100,2.8471,Java,secuencial
StrassenNaiv,32,1,10348500,10.3485,Java,secuencial
StrassenWinograd,32,1,7041300,7.0413,Java,secuencial
CC_SequentialBlock,32,1,4459900,4.4599,Java,secuencial
CC_ParallelBlock,32,1,19147100,19.1471,Java,secuencial
RC_SequentialBlock,32,1,3998200,3.9982,Java,secuencial
RC_ParallelBlock,32,1,9077200,9.0772,Java,secuencial
RC_EnhancedParallelBlock,32,1,10440700,10.4407,Java,secuencial
RR_SequentialBlock,32,1,4669300,4.6693,Java,secuencial
RR_ParallelBlock,32,1,8077900,8.0779,Java,secuencial
RR_EnhancedParallelBlock,32,1,6019100,6.0191,Java,secuencial
NaivOnArray,32,2,150800,0.1508,Java,secuencial
NaivLoopUnrollingTwo,32,2,1079300,1.0793,Java,secuencial
NaivLoopUnrollingFour,32,2,1583000,1.5830,Java,secuencial
WinogradOriginal,32,2,2051300,2.0513,Java,secuencial
WinogradScaled,32,2,4546800,4.5468,Java,secuencial
StrassenNaiv,32,2,4975400,4.9754,Java,secuencial
StrassenWinograd,32,2,4887100,4.8871,Java,secuencial
CC_SequentialBlock,32,2,4520900,4.5209,Java,secuencial
CC_ParallelBlock,32,2,1505900,1.5059,Java,secuencial
RC_SequentialBlock,32,2,2120900,2.1209,Java,secuencial
RC_ParallelBlock,32,2,1433000,1.4330,Java,secuencial
RC_EnhancedParallelBlock,32,2,1688300,1.6883,Java,secuencial
RR_SequentialBlock,32,2,2070000,2.0700,Java,secuencial
RR_ParallelBlock,32,2,1590100,1.5901,Java,secuencial
RR_EnhancedParallelBlock,32,2,4306300,4.3063,Java,secuencial
