tamaño,CC_ParallelBlock,CC_SequentialBlock,NaivLoopUnrollingFour,NaivLoopUnrollingTwo,NaivOnArray,RC_EnhancedParallelBlock,RC_ParallelBlock,RC_SequentialBlock,RR_EnhancedParallelBlock,RR_ParallelBlock,RR_SequentialBlock,StrassenNaiv,StrassenWinograd,WinogradOriginal,WinogradScaled
16,18.2554,1.2645,5.6244,1.9254,9.1344,99.5468,3.3530,4.4647,61.7738,3.4318,1.2008,3.7694,5.1227,42.0407,37.8541
32,14.7942,20.3872,2.8513,3.1731,0.0670,19.6873,4.3298,6.1029,46.1787,1.9868,3.4457,6.6406,28.6640,3.2733,1.9740
64,8.1180,4.9895,143.8592,5.9926,1.0882,75.1531,7.8156,17.4359,62.0135,5.0574,3.2976,146.4155,92.7284,2.0402,3.9479
128,9.3109,11.9370,70.1996,7.2656,5.7272,29.7337,9.3410,10.7273,33.5172,4.1241,6.5170,446.2276,379.0114,57.0888,59.9851
