algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,2739400,2.7394,Java,secuencial
NaivLoopUnrollingTwo,16,1,8565700,8.5657,Java,secuencial
NaivLoopUnrollingFour,16,1,15161500,15.1615,Java,secuencial
WinogradOriginal,16,1,2582400,2.5824,Java,secuencial
WinogradScaled,16,1,2512500,2.5125,Java,secuencial
StrassenNaiv,16,1,6742700,6.7427,Java,secuencial
StrassenWinograd,16,1,4845300,4.8453,Java,secuencial
CC_SequentialBlock,16,1,4173600,4.1736,Java,secuencial
CC_ParallelBlock,16,1,28998300,28.9983,Java,secuencial
RC_SequentialBlock,16,1,5279800,5.2798,Java,secuencial
RC_ParallelBlock,16,1,6257300,6.2573,Java,secuencial
RC_EnhancedParallelBlock,16,1,10328900,10.3289,Java,secuencial
RR_SequentialBlock,16,1,3058700,3.0587,Java,secuencial
RR_ParallelBlock,16,1,5484800,5.4848,Java,secuencial
RR_EnhancedParallelBlock,16,1,17239500,17.2395,Java,secuencial
NaivOnArray,16,2,37300,0.0373,Java,secuencial
NaivLoopUnrollingTwo,16,2,254600,0.2546,Java,secuencial
NaivLoopUnrollingFour,16,2,215300,0.2153,Java,secuencial
WinogradOriginal,16,2,252300,0.2523,Java,secuencial
WinogradScaled,16,2,351500,0.3515,Java,secuencial
StrassenNaiv,16,2,1866800,1.8668,Java,secuencial
StrassenWinograd,16,2,1046000,1.0460,Java,secuencial
CC_SequentialBlock,16,2,369700,0.3697,Java,secuencial
CC_ParallelBlock,16,2,356700,0.3567,Java,secuencial
RC_SequentialBlock,16,2,271700,0.2717,Java,secuencial
RC_ParallelBlock,16,2,391800,0.3918,Java,secuencial
RC_EnhancedParallelBlock,16,2,7977700,7.9777,Java,secuencial
RR_SequentialBlock,16,2,288300,0.2883,Java,secuencial
RR_ParallelBlock,16,2,331400,0.3314,Java,secuencial
RR_EnhancedParallelBlock,16,2,2066400,2.0664,Java,secuencial
NaivOnArray,32,1,78800,0.0788,Java,secuencial
NaivLoopUnrollingTwo,32,1,2231900,2.2319,Java,secuencial
NaivLoopUnrollingFour,32,1,1468400,1.4684,Java,secuencial
WinogradOriginal,32,1,1951500,1.9515,Java,secuencial
WinogradScaled,32,1,2120300,2.1203,Java,secuencial
StrassenNaiv,32,1,5349900,5.3499,Java,secuencial
StrassenWinograd,32,1,8001000,8.0010,Java,secuencial
CC_SequentialBlock,32,1,4274700,4.2747,Java,secuencial
CC_ParallelBlock,32,1,3552000,3.5520,Java,secuencial
RC_SequentialBlock,32,1,2112700,2.1127,Java,secuencial
RC_ParallelBlock,32,1,2664500,2.6645,Java,secuencial
RC_EnhancedParallelBlock,32,1,6186900,6.1869,Java,secuencial
RR_SequentialBlock,32,1,2039800,2.0398,Java,secuencial
RR_ParallelBlock,32,1,1421600,1.4216,Java,secuencial
RR_EnhancedParallelBlock,32,1,2908300,2.9083,Java,secuencial
NaivOnArray,32,2,63600,0.0636,Java,secuencial
NaivLoopUnrollingTwo,32,2,1409400,1.4094,Java,secuencial
NaivLoopUnrollingFour,32,2,2850400,2.8504,Java,secuencial
WinogradOriginal,32,2,2421200,2.4212,Java,secuencial
WinogradScaled,32,2,1010100,1.0101,Java,secuencial
StrassenNaiv,32,2,5186000,5.1860,Java,secuencial
StrassenWinograd,32,2,7141400,7.1414,Java,secuencial
CC_SequentialBlock,32,2,2119700,2.1197,Java,secuencial
CC_ParallelBlock,32,2,1769200,1.7692,Java,secuencial
RC_SequentialBlock,32,2,2165800,2.1658,Java,secuencial
RC_ParallelBlock,32,2,6182000,6.1820,Java,secuencial
RC_EnhancedParallelBlock,32,2,9881200,9.8812,Java,secuencial
RR_SequentialBlock,32,2,2752900,2.7529,Java,secuencial
RR_ParallelBlock,32,2,1733800,1.7338,Java,secuencial
RR_EnhancedParallelBlock,32,2,6224500,6.2245,Java,secuencial
NaivOnArray,64,1,467400,0.4674,Java,secuencial
NaivLoopUnrollingTwo,64,1,3528300,3.5283,Java,secuencial
NaivLoopUnrollingFour,64,1,11235700,11.2357,Java,secuencial
WinogradOriginal,64,1,2231500,2.2315,Java,secuencial
WinogradScaled,64,1,2626500,2.6265,Java,secuencial
StrassenNaiv,64,1,43793300,43.7933,Java,secuencial
StrassenWinograd,64,1,90023500,90.0235,Java,secuencial
CC_SequentialBlock,64,1,10410600,10.4106,Java,secuencial
CC_ParallelBlock,64,1,12892800,12.8928,Java,secuencial
RC_SequentialBlock,64,1,12621700,12.6217,Java,secuencial
RC_ParallelBlock,64,1,4036000,4.0360,Java,secuencial
RC_EnhancedParallelBlock,64,1,102812400,102.8124,Java,secuencial
RR_SequentialBlock,64,1,18275100,18.2751,Java,secuencial
RR_ParallelBlock,64,1,4748800,4.7488,Java,secuencial
