algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,32,1.5286,0.1508,2.9065,2
NaivLoopUnrollingTwo,32,2.1208,1.0793,3.1623,2
NaivLoopUnrollingFour,32,2.0441,1.5830,2.5051,2
WinogradOriginal,32,2.5889,2.0513,3.1264,2
WinogradScaled,32,3.6970,2.8471,4.5468,2
StrassenNaiv,32,7.6619,4.9754,10.3485,2
StrassenWinograd,32,5.9642,4.8871,7.0413,2
CC_SequentialBlock,32,4.4904,4.4599,4.5209,2
CC_ParallelBlock,32,10.3265,1.5059,19.1471,2
RC_SequentialBlock,32,3.0595,2.1209,3.9982,2
RC_ParallelBlock,32,5.2551,1.4330,9.0772,2
RC_EnhancedParallelBlock,32,6.0645,1.6883,10.4407,2
RR_SequentialBlock,32,3.3697,2.0700,4.6693,2
RR_ParallelBlock,32,4.8340,1.5901,8.0779,2
RR_EnhancedParallelBlock,32,5.1627,4.3063,6.0191,2
