algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,16,0.9954,0.0383,1.9524,2
NaivLoopUnrollingTwo,16,1.1591,0.5174,1.8008,2
NaivLoopUnrollingFour,16,1.0171,0.2334,1.8008,2
WinogradOriginal,16,3.8222,0.2808,7.3635,2
WinogradScaled,16,1.2203,0.4152,2.0253,2
StrassenNaiv,16,4.3641,0.9662,7.7620,2
StrassenWinograd,16,1.9182,1.1854,2.6509,2
CC_SequentialBlock,16,1.3088,0.5337,2.0839,2
CC_ParallelBlock,16,11.4060,0.4468,22.3651,2
RC_SequentialBlock,16,1.2510,0.4055,2.0965,2
RC_ParallelBlock,16,3.8579,0.5517,7.1640,2
RC_EnhancedParallelBlock,16,20.6946,16.0355,25.3537,2
RR_SequentialBlock,16,1.1199,0.2775,1.9622,2
RR_ParallelBlock,16,3.4688,0.3283,6.6092,2
RR_EnhancedParallelBlock,16,16.6266,12.2833,20.9700,2
NaivOnArray,32,0.0862,0.0835,0.0888,2
NaivLoopUnrollingTwo,32,1.6205,1.5141,1.7268,2
NaivLoopUnrollingFour,32,1.5514,1.5478,1.5549,2
WinogradOriginal,32,1.9544,1.9138,1.9950,2
WinogradScaled,32,1.5915,0.6378,2.5452,2
StrassenNaiv,32,10.7279,8.3216,13.1341,2
StrassenWinograd,32,8.6506,6.7393,10.5619,2
CC_SequentialBlock,32,2.9821,2.1781,3.7860,2
CC_ParallelBlock,32,4.2443,2.7622,5.7264,2
RC_SequentialBlock,32,5.3717,4.7865,5.9569,2
RC_ParallelBlock,32,2.9289,1.6188,4.2389,2
RC_EnhancedParallelBlock,32,9.8028,1.7796,17.8260,2
RR_SequentialBlock,32,2.8881,2.5176,3.2585,2
RR_ParallelBlock,32,1.6292,1.6154,1.6430,2
RR_EnhancedParallelBlock,32,4.0103,3.2905,4.7300,2
NaivOnArray,64,0.5021,0.4845,0.5196,2
NaivLoopUnrollingTwo,64,2.5416,1.0066,4.0767,2
NaivLoopUnrollingFour,64,14.8049,9.0050,20.6047,2
WinogradOriginal,64,6.7605,1.7846,11.7364,2
WinogradScaled,64,3.9891,3.4190,4.5592,2
StrassenNaiv,64,38.9748,36.4567,41.4928,2
StrassenWinograd,64,34.9538,33.4497,36.4579,2
CC_SequentialBlock,64,1.8483,1.4888,2.2078,2
CC_ParallelBlock,64,3.8459,1.7273,5.9645,2
RC_SequentialBlock,64,1.7266,0.8926,2.5605,2
RC_ParallelBlock,64,5.4000,4.7301,6.0699,2
RC_EnhancedParallelBlock,64,6.1035,2.3718,9.8351,2
RR_SequentialBlock,64,1.5485,0.7503,2.3467,2
RR_ParallelBlock,64,2.6270,1.3140,3.9400,2
RR_EnhancedParallelBlock,64,8.7447,2.9249,14.5645,2
NaivOnArray,128,5.1763,4.4160,5.9366,2
NaivLoopUnrollingTwo,128,11.1637,8.0422,14.2851,2
NaivLoopUnrollingFour,128,7.1557,5.5505,8.7610,2
WinogradOriginal,128,6.3588,4.9913,7.7263,2
WinogradScaled,128,8.8092,7.9909,9.6275,2
StrassenNaiv,128,216.8326,203.9817,229.6835,2
StrassenWinograd,128,210.6193,195.6600,225.5786,2
CC_SequentialBlock,128,6.2205,5.7771,6.6640,2
CC_ParallelBlock,128,3.3230,3.2326,3.4133,2
RC_SequentialBlock,128,6.7378,4.9600,8.5156,2
RC_ParallelBlock,128,3.0502,1.9620,4.1383,2
RC_EnhancedParallelBlock,128,10.6194,3.9154,17.3234,2
RR_SequentialBlock,128,4.1347,3.4577,4.8117,2
RR_ParallelBlock,128,2.0969,2.0035,2.1904,2
RR_EnhancedParallelBlock,128,6.0787,6.0367,6.1206,2
