algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,16,3.2227,0.0614,6.3839,2
NaivLoopUnrollingTwo,16,3.8821,1.1980,6.5662,2
NaivLoopUnrollingFour,16,2.5094,0.2190,4.7998,2
WinogradOriginal,16,1.5421,0.2427,2.8415,2
WinogradScaled,16,1.7995,0.4584,3.1406,2
StrassenNaiv,16,4.6645,1.0588,8.2702,2
StrassenWinograd,16,3.8465,1.2759,6.4170,2
CC_SequentialBlock,16,1.7377,0.2459,3.2294,2
CC_ParallelBlock,16,52.9949,0.3577,105.6320,2
RC_SequentialBlock,16,3.8531,0.2647,7.4414,2
RC_ParallelBlock,16,3.4951,0.4213,6.5690,2
RC_EnhancedParallelBlock,16,15.3702,1.2171,29.5234,2
RR_SequentialBlock,16,2.9416,0.3460,5.5371,2
RR_ParallelBlock,16,3.1457,0.4144,5.8770,2
RR_EnhancedParallelBlock,16,6.6320,1.9157,11.3483,2
NaivOnArray,32,0.2053,0.0733,0.3374,2
NaivLoopUnrollingTwo,32,3.2126,1.8222,4.6030,2
NaivLoopUnrollingFour,32,1.3989,1.3966,1.4012,2
WinogradOriginal,32,3.5819,1.9961,5.1676,2
WinogradScaled,32,1.8346,0.8712,2.7979,2
StrassenNaiv,32,6.6493,5.6523,7.6462,2
StrassenWinograd,32,8.5823,8.3663,8.7983,2
CC_SequentialBlock,32,2.3320,1.9522,2.7117,2
CC_ParallelBlock,32,2.7575,2.3489,3.1661,2
RC_SequentialBlock,32,2.8128,2.2065,3.4191,2
RC_ParallelBlock,32,4.0929,3.5706,4.6152,2
RC_EnhancedParallelBlock,32,2.2466,2.2091,2.2840,2
RR_SequentialBlock,32,2.3199,1.9271,2.7127,2
RR_ParallelBlock,32,1.6390,1.5773,1.7006,2
RR_EnhancedParallelBlock,32,2.1901,2.1515,2.2287,2
NaivOnArray,64,0.6398,0.5280,0.7515,2
NaivLoopUnrollingTwo,64,5.0106,4.7778,5.2433,2
NaivLoopUnrollingFour,64,7.6688,1.4426,13.8950,2
WinogradOriginal,64,1.6514,0.9869,2.3160,2
WinogradScaled,64,2.8583,2.0557,3.6608,2
StrassenNaiv,64,45.4584,44.1320,46.7848,2
StrassenWinograd,64,45.9934,44.8114,47.1754,2
CC_SequentialBlock,64,2.8511,2.2543,3.4479,2
CC_ParallelBlock,64,7.8711,4.0606,11.6816,2
RC_SequentialBlock,64,5.4630,4.3879,6.5381,2
RC_ParallelBlock,64,4.5004,3.9258,5.0750,2
RC_EnhancedParallelBlock,64,11.0391,7.8798,14.1983,2
RR_SequentialBlock,64,4.0247,1.0557,6.9936,2
RR_ParallelBlock,64,7.5439,6.7270,8.3608,2
RR_EnhancedParallelBlock,64,10.7501,3.4710,18.0291,2
NaivOnArray,128,7.5964,4.7357,10.4571,2
NaivLoopUnrollingTwo,128,18.4498,7.9714,28.9281,2
NaivLoopUnrollingFour,128,10.7285,9.5269,11.9302,2
WinogradOriginal,128,4.2399,3.7683,4.7114,2
WinogradScaled,128,20.1648,12.9021,27.4275,2
StrassenNaiv,128,310.6413,285.6975,335.5851,2
StrassenWinograd,128,284.8989,222.0785,347.7193,2
CC_SequentialBlock,128,14.1613,11.8283,16.4943,2
CC_ParallelBlock,128,4.0792,2.9337,5.2247,2
RC_SequentialBlock,128,8.4737,6.5159,10.4314,2
RC_ParallelBlock,128,7.1422,3.8003,10.4841,2
RC_EnhancedParallelBlock,128,16.1403,16.0193,16.2612,2
RR_SequentialBlock,128,6.7243,3.3228,10.1259,2
RR_ParallelBlock,128,2.3455,2.0617,2.6293,2
RR_EnhancedParallelBlock,128,28.5974,8.3625,48.8322,2
