tamaño,CC_ParallelBlock,CC_SequentialBlock,NaivLoopUnrollingFour,NaivLoopUnrollingTwo,NaivOnArray,RC_EnhancedParallelBlock,RC_ParallelBlock,RC_SequentialBlock,RR_EnhancedParallelBlock,RR_ParallelBlock,RR_SequentialBlock,StrassenNaiv,StrassenWinograd,WinogradOriginal,WinogradScaled
16,24.6126,1.9193,3.7407,1.5841,1.4601,25.6170,2.7923,1.6275,46.4651,2.7647,3.6539,7.6865,6.9394,1.7172,1.8569
32,4.6349,5.6634,2.2243,1.7601,0.1738,9.1200,2.3723,2.5464,9.3126,2.2779,2.6759,10.3527,19.8119,5.2016,1.8258
64,2.7549,6.9847,6.7105,4.2093,0.5496,46.1820,5.8366,1.8640,31.5609,5.2565,3.3393,58.0622,54.2593,1.5415,6.7910
128,6.0886,12.3742,6.8657,12.4331,4.2368,23.8039,2.0599,5.5131,21.1970,2.4262,4.5081,315.7623,339.0415,12.7438,15.6369
